dataset,output_tag,planner,budget,horizon,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,mean_gap,median_gap,max_gap,n,q90_gap,episode_true_return,episode_max_pocket_score,search_concentration
action_library_sweep,cardinal4,static_rollout_pool,768,18,cardinal4,4,1.25,1.15,0.22,0.55,base,0.632233967276008,0.03604113817268484,1.848800778191432,3,1.4862488501876827,,,
action_library_sweep,cardinal4,uct_mcts,768,18,cardinal4,4,1.25,1.15,0.22,0.55,base,0.07863118513457934,0.0024064698048178457,0.2334729858046991,3,0.18725968260472287,,,0.8755725840783312
action_library_sweep,cardinal4,uncertainty_mcts_240,768,18,cardinal4,4,1.25,1.15,0.22,0.55,base,0.004879237625007231,0.0036441708261989447,0.009121639131315362,3,0.008026145470292078,,,0.8929711731435869
action_library_sweep,default9,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.11450837497325139,0.16056873514311576,0.17885832302961902,3,0.17520040545231835,,,
action_library_sweep,default9,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.05109031620064641,5.66484906983078e-07,0.15326988599037605,3,0.12261602208928224,,,0.5451742213999383
action_library_sweep,default9,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,base,1.9241539817744382,1.7343664104885193e-06,5.772459537366416,3,4.617967976766415,,,0.5308356460067838
action_library_sweep,dense17,static_rollout_pool,768,18,dense17,17,1.25,1.15,0.22,0.55,base,0.02352871881260299,0.008630805621312021,0.061049499402461294,3,0.050565760646231445,,,
action_library_sweep,dense17,uct_mcts,768,18,dense17,17,1.25,1.15,0.22,0.55,base,0.000731765544318345,3.732260651645447e-07,0.002194923404971405,3,0.001756013369190157,,,0.3111111111111111
action_library_sweep,dense17,uncertainty_mcts_240,768,18,dense17,17,1.25,1.15,0.22,0.55,base,0.0007426216023998696,4.961266562020228e-07,0.002227368358909132,3,0.0017819939124585462,,,0.2962962962962963
closed_loop_replay,budget_512,conservative_mcts,512,18,default9,9,,1.15,0.22,0.55,base,0.0478851820423681,0.0478851820423681,0.09576869760607269,2,0.08619199449333177,-5.271337281939277,3.616065674833564e-07,
closed_loop_replay,budget_512,static_rollout_pool,512,18,default9,9,,1.15,0.22,0.55,base,1.5752054162606985,1.5752054162606985,1.7136157329643755,2,1.6859336696236402,-5.4012085908357275,3.1386338073216746e-07,
closed_loop_replay,budget_512,uct_mcts,512,18,default9,9,,1.15,0.22,0.55,base,1.1029541285581754,1.1029541285581754,1.9241678641123592,2,1.7599251170015224,-5.135364752410103,3.112181937698226e-07,
closed_loop_replay,budget_512,uncertainty_mcts_240,512,18,default9,9,,1.15,0.22,0.55,base,0.0478851820423681,0.0478851820423681,0.09576869760607269,2,0.08619199449333177,-5.271337281939277,3.616065674833564e-07,
dynamics_drift_stress,dynamics_bias_0.00,static_rollout_pool,768,18,default9,9,1.25,1.15,0.0,0.55,base,0.07163291416401307,0.10183246340569241,0.1106768160158893,3,0.10890794549384993,,,
dynamics_drift_stress,dynamics_bias_0.00,uct_mcts,768,18,default9,9,1.25,1.15,0.0,0.55,base,0.015246834189226158,4.813070887621507e-06,0.04573552538360204,3,0.036589382921059156,,,0.5451742213999383
dynamics_drift_stress,dynamics_bias_0.00,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.0,0.55,base,0.3289394021468072,6.851350700998182e-05,0.9867495376053164,3,0.7894133327856552,,,0.5308356460067838
dynamics_drift_stress,dynamics_bias_0.22,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.11450837497325139,0.16056873514311576,0.17885832302961902,3,0.17520040545231835,,,
dynamics_drift_stress,dynamics_bias_0.22,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.05109031620064641,5.66484906983078e-07,0.15326988599037605,3,0.12261602208928224,,,0.5451742213999383
dynamics_drift_stress,dynamics_bias_0.22,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,base,1.9241539817744382,1.7343664104885193e-06,5.772459537366416,3,4.617967976766415,,,0.5308356460067838
dynamics_drift_stress,dynamics_bias_0.36,static_rollout_pool,768,18,default9,9,1.25,1.15,0.36,0.55,base,0.14234468265445108,0.19361695855280558,0.22823008705921666,3,0.22130746135793444,,,
dynamics_drift_stress,dynamics_bias_0.36,uct_mcts,768,18,default9,9,1.25,1.15,0.36,0.55,base,0.07767215362055187,8.225397145622537e-07,0.23301494267295908,3,0.1864121186463102,,,0.5451742213999383
dynamics_drift_stress,dynamics_bias_0.36,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.36,0.55,base,2.2660212479908757,2.5556198153253717e-06,6.798060184958974,3,5.438448659091143,,,0.5308356460067838
dynamics_drift_stress,dynamics_bias_0.50,static_rollout_pool,768,18,default9,9,1.25,1.15,0.5,0.55,base,0.17056971878425387,0.2276450044844296,0.27778693417106837,3,0.2677585482337406,,,
dynamics_drift_stress,dynamics_bias_0.50,uct_mcts,768,18,default9,9,1.25,1.15,0.5,0.55,base,1.0486763100857115,1.0785945683267073e-06,3.1460269564912267,3,2.5168217809118953,,,0.5451742213999383
dynamics_drift_stress,dynamics_bias_0.50,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.5,0.55,base,2.4987998285525492,3.3768739058359643e-06,7.496394775586531,3,5.997116495844006,,,0.5308356460067838
exploration_sweep,exploration_0.35,static_rollout_pool,768,18,default9,9,0.35,1.15,0.22,0.55,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
exploration_sweep,exploration_0.35,uct_mcts,768,18,default9,9,0.35,1.15,0.22,0.55,base,0.2468706112275285,0.07114983236283301,0.8451823949831336,4,0.6343123070942771,,,0.7117927073697194
exploration_sweep,exploration_0.75,static_rollout_pool,768,18,default9,9,0.75,1.15,0.22,0.55,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
exploration_sweep,exploration_0.75,uct_mcts,768,18,default9,9,0.75,1.15,0.22,0.55,base,0.02849849458127718,1.2203510895147929e-06,0.1139914089596914,4,0.07979460042614017,,,0.6549491211840888
exploration_sweep,exploration_1.25,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
exploration_sweep,exploration_1.25,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.0383197855130355,4.379967554868358e-06,0.15326988599037605,4,0.10729137822832409,,,0.5844125809435707
exploration_sweep,exploration_2.00,static_rollout_pool,768,18,default9,9,2.0,1.15,0.22,0.55,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
exploration_sweep,exploration_2.00,uct_mcts,768,18,default9,9,2.0,1.15,0.22,0.55,base,0.3187274350305005,0.21486364994713902,0.8451824008012743,4,0.7205458530344668,,,0.4565217391304348
exploration_sweep,exploration_3.00,static_rollout_pool,768,18,default9,9,3.0,1.15,0.22,0.55,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
exploration_sweep,exploration_3.00,uct_mcts,768,18,default9,9,3.0,1.15,0.22,0.55,base,0.48238879775992016,0.5421861470558751,0.8451824008012743,4,0.7853901624349375,,,0.4746376811594203
horizon_budget_sweep,h18_b256,static_rollout_pool,256,18,default9,9,1.25,1.15,0.22,0.55,base,0.00043733215235638073,0.0005047373778701569,0.0007755575980077367,3,0.0007213935539802207,,,
horizon_budget_sweep,h18_b256,uct_mcts,256,18,default9,9,1.25,1.15,0.22,0.55,base,0.0005732958081286673,1.3745310667445665e-08,0.0017198726773806072,3,0.0013759008909666193,,,0.3111111111111111
horizon_budget_sweep,h18_b256,uncertainty_mcts_240,256,18,default9,9,1.25,1.15,0.22,0.55,base,0.0005732958081286673,1.3745310667445665e-08,0.0017198726773806072,3,0.0013759008909666193,,,0.3111111111111111
horizon_budget_sweep,h18_b768,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.11450837497325139,0.16056873514311576,0.17885832302961902,3,0.17520040545231835,,,
horizon_budget_sweep,h18_b768,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.05109031620064641,5.66484906983078e-07,0.15326988599037605,3,0.12261602208928224,,,0.5451742213999383
horizon_budget_sweep,h18_b768,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,base,1.9241539817744382,1.7343664104885193e-06,5.772459537366416,3,4.617967976766415,,,0.5308356460067838
horizon_budget_sweep,h24_b256,static_rollout_pool,256,24,default9,9,1.25,1.15,0.22,0.55,base,2.7935132038753303,0.6115547789194302,7.623308179837398,3,6.220957499653805,,,
horizon_budget_sweep,h24_b256,uct_mcts,256,24,default9,9,1.25,1.15,0.22,0.55,base,7.3073304444430205e-09,7.746336905256612e-10,2.1122630755598948e-08,3,1.7053031342584293e-08,,,0.24242424242424243
horizon_budget_sweep,h24_b256,uncertainty_mcts_240,256,24,default9,9,1.25,1.15,0.22,0.55,base,7.3073304444430205e-09,7.746336905256612e-10,2.1122630755598948e-08,3,1.7053031342584293e-08,,,0.24242424242424243
horizon_budget_sweep,h24_b768,static_rollout_pool,768,24,default9,9,1.25,1.15,0.22,0.55,base,0.1077267698332598,0.06724814821892977,0.1893623550052581,3,0.16493951364799245,,,
horizon_budget_sweep,h24_b768,uct_mcts,768,24,default9,9,1.25,1.15,0.22,0.55,base,0.36355691537194446,6.441398880951965e-08,1.0906706791292429,3,0.8725365561861921,,,0.5588235294117647
horizon_budget_sweep,h24_b768,uncertainty_mcts_240,768,24,default9,9,1.25,1.15,0.22,0.55,base,4.650142884088382e-07,9.289635016784814e-08,1.3016033264534599e-06,3,1.0598619311963377e-06,,,0.5392156862745098
horizon_budget_sweep,h8_b256,static_rollout_pool,256,8,default9,9,1.25,1.15,0.22,0.55,base,0.00037609378868689686,6.249994299878381e-06,0.001121286692152168,3,0.0008982793525817101,,,
horizon_budget_sweep,h8_b256,uct_mcts,256,8,default9,9,1.25,1.15,0.22,0.55,base,0.0024649513867066966,2.620986849244389e-05,0.007368113140122645,3,0.005899732485796606,,,0.2962962962962963
horizon_budget_sweep,h8_b256,uncertainty_mcts_240,256,8,default9,9,1.25,1.15,0.22,0.55,base,2.8357776512185257e-07,3.9776312910078104e-07,4.4508951901889304e-07,3,4.356242410352706e-07,,,0.5105895369053264
horizon_budget_sweep,h8_b768,static_rollout_pool,768,8,default9,9,1.25,1.15,0.22,0.55,base,0.010053218097105798,4.931637258742683e-05,0.030109447959215885,3,0.024097421641890195,,,
horizon_budget_sweep,h8_b768,uct_mcts,768,8,default9,9,1.25,1.15,0.22,0.55,base,0.0005610926678567552,0.0005868671000612835,0.0009820971570722037,3,0.0009030511456700197,,,0.8215468270800264
horizon_budget_sweep,h8_b768,uncertainty_mcts_240,768,8,default9,9,1.25,1.15,0.22,0.55,base,0.019984623402160413,0.00031131430830022566,0.05961071269389784,3,0.04775083301677832,,,0.8597826652026721
start_state_stress,base,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.11450837497325139,0.16056873514311576,0.17885832302961902,3,0.17520040545231835,,,
start_state_stress,base,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.05109031620064641,5.66484906983078e-07,0.15326988599037605,3,0.12261602208928224,,,0.5451742213999383
start_state_stress,base,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,base,1.9241539817744382,1.7343664104885193e-06,5.772459537366416,3,4.617967976766415,,,0.5308356460067838
start_state_stress,lower_start,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,lower_start,0.0026024983357425904,0.0038028254758408764,0.003985050550589619,3,0.003948605535639871,,,
start_state_stress,lower_start,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,lower_start,0.29799888864022134,3.35804060114242e-08,0.8939966075962964,3,0.7151972927931184,,,0.6353684859697811
start_state_stress,lower_start,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,lower_start,0.20925419152680824,0.042046181061865084,0.585716378975981,3,0.4769823393931578,,,0.6683626271970398
start_state_stress,pocket_adjacent,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,pocket_adjacent,9.529889512376682,9.943266800770424,13.86699472732323,3,13.082249142012667,,,
start_state_stress,pocket_adjacent,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,pocket_adjacent,11.135960219045806,11.423741330143622,11.58554883947216,3,11.553187337606452,,,0.7352759790317607
start_state_stress,pocket_adjacent,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,pocket_adjacent,7.543755214008534,9.296795983322422,10.81315917638471,3,10.509886537772253,,,0.6847055195806352
start_state_stress,wide_left,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,wide_left,0.09929708669694175,0.11955577629798952,0.17435136049802225,3,0.1633922436580157,,,
start_state_stress,wide_left,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,wide_left,0.0012340184611403515,0.0017199144713337944,0.001982140396272314,3,0.00192969521128461,,,0.4492753623188406
start_state_stress,wide_left,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,wide_left,0.0005733195012105341,7.418395853164839e-08,0.0017198613205060553,3,0.0013759038931965507,,,0.6399938328707986
uncertainty_calibration_stress,uncertainty_pocket_0.00,conservative_mcts,768,18,default9,9,1.25,1.15,0.22,0.0,base,1.6551679623678424,0.071141934369642,6.478387307141597,4,4.577555755310981,,,0.5611702127659575
uncertainty_calibration_stress,uncertainty_pocket_0.00,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.0,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
uncertainty_calibration_stress,uncertainty_pocket_0.00,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.0,base,0.0383197855130355,4.379967554868358e-06,0.15326988599037605,4,0.10729137822832409,,,0.5844125809435707
uncertainty_calibration_stress,uncertainty_pocket_0.00,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.0,base,1.4431157535044283,1.4015304046210986e-06,5.772459537366416,4,4.040722196466415,,,0.5394310823311748
uncertainty_calibration_stress,uncertainty_pocket_0.15,conservative_mcts,768,18,default9,9,1.25,1.15,0.22,0.15,base,0.1431843792330887,0.071141934369642,0.43045297460258247,4,0.34400172253366984,,,0.5611702127659575
uncertainty_calibration_stress,uncertainty_pocket_0.15,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.15,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
uncertainty_calibration_stress,uncertainty_pocket_0.15,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.15,base,0.0383197855130355,4.379967554868358e-06,0.15326988599037605,4,0.10729137822832409,,,0.5844125809435707
uncertainty_calibration_stress,uncertainty_pocket_0.15,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.15,base,1.4431157535044283,1.4015304046210986e-06,5.772459537366416,4,4.040722196466415,,,0.5394310823311748
uncertainty_calibration_stress,uncertainty_pocket_0.55,conservative_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.1431843792330887,0.071141934369642,0.43045297460258247,4,0.34400172253366984,,,0.5611702127659575
uncertainty_calibration_stress,uncertainty_pocket_0.55,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
uncertainty_calibration_stress,uncertainty_pocket_0.55,uct_mcts,768,18,default9,9,1.25,1.15,0.22,0.55,base,0.0383197855130355,4.379967554868358e-06,0.15326988599037605,4,0.10729137822832409,,,0.5844125809435707
uncertainty_calibration_stress,uncertainty_pocket_0.55,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,0.55,base,1.4431157535044283,1.4015304046210986e-06,5.772459537366416,4,4.040722196466415,,,0.5394310823311748
uncertainty_calibration_stress,uncertainty_pocket_1.10,conservative_mcts,768,18,default9,9,1.25,1.15,0.22,1.1,base,1.9044972240915468,0.286367554487728,7.045253113800243,4,5.060813072040946,,,0.5611702127659575
uncertainty_calibration_stress,uncertainty_pocket_1.10,static_rollout_pool,768,18,default9,9,1.25,1.15,0.22,1.1,base,0.08592973727854325,0.08233340094506758,0.17885832302961902,4,0.17337144666366805,,,
uncertainty_calibration_stress,uncertainty_pocket_1.10,uct_mcts,768,18,default9,9,1.25,1.15,0.22,1.1,base,0.0383197855130355,4.379967554868358e-06,0.15326988599037605,4,0.10729137822832409,,,0.5844125809435707
uncertainty_calibration_stress,uncertainty_pocket_1.10,uncertainty_mcts_240,768,18,default9,9,1.25,1.15,0.22,1.1,base,1.443173079403695,0.0001160533289379373,5.772459537366416,4,4.0407909875455355,,,0.5394310823311748
