dataset,output_tag,budget,horizon,action_library,reward_bias,dynamics_bias,uncertainty_pocket,start_label,planner,baseline,n,mean_delta,median_delta,positive_fraction,max_delta,min_delta
action_library_sweep,cardinal4,768,18,cardinal4,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.5536027821414287,-0.03602703837846377,0.0,-0.009453515659089362,-1.6153277923867329
action_library_sweep,cardinal4,768,18,cardinal4,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-0.6273547296510008,-0.026919499041369477,0.0,-0.008215814637708263,-1.8469288752739246
action_library_sweep,default9,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.06341805877260498,-0.007298849152739706,0.0,-0.004097500262112419,-0.1788578269029628
action_library_sweep,default9,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,1.8096456068011868,-0.004097393156531126,0.3333333333333333,5.6118908022233,-0.17885658866320853
action_library_sweep,dense17,768,18,dense17,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.022796953268284643,-0.006435882216340616,0.0,-0.0009054781879704876,-0.06104949940054283
action_library_sweep,dense17,768,18,dense17,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-0.02278609721020312,-0.006403437262402889,0.0,-0.0009053552873794501,-0.06104949908082702
closed_loop_replay,budget_512,512,18,default9,1.15,0.22,0.55,base,conservative_mcts,static_rollout_pool,2,-1.5273202342183305,-1.5273202342183305,0.0,-1.3410264019509488,-1.713614066485712
closed_loop_replay,budget_512,512,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,2,-0.472251287702523,-0.472251287702523,0.5,0.21055213114798366,-1.1550547065530297
closed_loop_replay,budget_512,512,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,2,-1.5273202342183305,-1.5273202342183305,0.0,-1.3410264019509488,-1.713614066485712
dynamics_drift_stress,dynamics_bias_0.00,768,18,default9,1.15,0.0,0.55,base,uct_mcts,static_rollout_pool,3,-0.056386079974786917,-0.06494129063228726,0.0,-0.002389298957268693,-0.10182765033480479
dynamics_drift_stress,dynamics_bias_0.00,768,18,default9,1.15,0.0,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,0.25730648798279415,-0.0023893077423622344,0.3333333333333333,0.8760727215894271,-0.10176394989868243
dynamics_drift_stress,dynamics_bias_0.22,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.06341805877260498,-0.007298849152739706,0.0,-0.004097500262112419,-0.1788578269029628
dynamics_drift_stress,dynamics_bias_0.22,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,1.8096456068011868,-0.004097393156531126,0.3333333333333333,5.6118908022233,-0.17885658866320853
dynamics_drift_stress,dynamics_bias_0.36,768,18,default9,1.15,0.36,0.55,base,uct_mcts,static_rollout_pool,3,-0.0646725290338992,-0.005186179811616398,0.3333333333333333,0.039397984120153495,-0.22822939141023468
dynamics_drift_stress,dynamics_bias_0.36,768,18,default9,1.15,0.36,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,2.1236765653364245,-0.005185998957493609,0.3333333333333333,6.604443226406168,-0.22822753143940133
dynamics_drift_stress,dynamics_bias_0.50,768,18,default9,1.15,0.5,0.55,base,uct_mcts,static_rollout_pool,3,0.8781065913014577,-0.006276139102695311,0.3333333333333333,2.918381952006797,-0.27778603899972865
dynamics_drift_stress,dynamics_bias_0.50,768,18,default9,1.15,0.5,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,2.3282301097682954,-0.006275884500052342,0.3333333333333333,7.268749771102101,-0.27778355729716253
exploration_sweep,exploration_0.35,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,4,0.16094087394898526,-0.009240036057970968,0.25,0.8410843282361142,-0.17884076032423124
exploration_sweep,exploration_0.75,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,4,-0.05743124269726607,-0.08038101857665225,0.25,0.109893342212672,-0.17885627584843178
exploration_sweep,exploration_1.25,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,4,-0.04760995176550775,-0.0056981747074260625,0.0,-0.00018563074421606984,-0.1788578269029628
exploration_sweep,exploration_2.00,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,4,0.23279769775195724,0.1253375763351201,0.5,0.6846136656581585,-0.0040980273205697415
exploration_sweep,exploration_3.00,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,4,0.3964590604813769,0.4598527461108075,0.75,0.8449885766068554,-0.1788578269029628
horizon_budget_sweep,h18_b256,256,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,0.00013596365577228653,-3.170047949652144e-05,0.3333333333333333,0.0012151352995104503,-0.0007755438526970693
horizon_budget_sweep,h18_b256,256,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,0.00013596365577228653,-3.170047949652144e-05,0.3333333333333333,0.0012151352995104503,-0.0007755438526970693
horizon_budget_sweep,h18_b768,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.06341805877260498,-0.007298849152739706,0.0,-0.004097500262112419,-0.1788578269029628
horizon_budget_sweep,h18_b768,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,1.8096456068011868,-0.004097393156531126,0.3333333333333333,5.6118908022233,-0.17885658866320853
horizon_budget_sweep,h24_b256,256,24,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-2.793513196568,-0.6115547577967995,0.0,-0.1456766528444362,-7.623308179062764
horizon_budget_sweep,h24_b256,256,24,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-2.793513196568,-0.6115547577967995,0.0,-0.1456766528444362,-7.623308179062764
horizon_budget_sweep,h24_b768,768,24,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,0.25583014553868466,-0.06724814564632808,0.3333333333333333,1.0241008728536514,-0.1893622905912693
horizon_budget_sweep,h24_b768,768,24,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-0.10772630481897139,-0.06724684661560332,0.0,-0.06656971337924134,-0.1893623544620695
horizon_budget_sweep,h8_b256,256,8,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,0.0020888575980198,-2.1352810364305697e-07,0.3333333333333333,0.007361863145822767,-0.0010950768236597241
horizon_budget_sweep,h8_b256,256,8,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,-0.00037581021092177497,-6.242113652632497e-06,0.0,-3.469164795433244e-07,-0.0011208416026331491
horizon_budget_sweep,h8_b768,768,8,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.009492125429249043,6.499737384935145e-05,0.6666666666666666,0.0009812071975581205,-0.0295225808591546
horizon_budget_sweep,h8_b768,768,8,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,0.009931405305054616,3.095324476909411e-05,0.6666666666666666,0.05956139632131041,-0.02979813365091566
start_state_stress,base,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,3,-0.06341805877260498,-0.007298849152739706,0.0,-0.004097500262112419,-0.1788578269029628
start_state_stress,base,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,3,1.8096456068011868,-0.004097393156531126,0.3333333333333333,5.6118908022233,-0.17885658866320853
start_state_stress,lower_start,768,18,default9,1.15,0.22,0.55,lower_start,uct_mcts,static_rollout_pool,3,0.29539639030447873,-0.00380280073187933,0.3333333333333333,0.8939769886154991,-0.003985016970183608
start_state_stress,lower_start,768,18,default9,1.15,0.22,0.55,lower_start,uncertainty_mcts_240,static_rollout_pool,3,0.20665169319106566,0.04202656208106781,0.6666666666666666,0.5819135535001401,-0.003985036008010923
start_state_stress,pocket_adjacent,768,18,default9,1.15,0.22,0.55,pocket_adjacent,uct_mcts,static_rollout_pool,3,1.6060707066691229,0.4553236867512105,0.6666666666666666,6.644334321107227,-2.281445887851069
start_state_stress,pocket_adjacent,768,18,default9,1.15,0.22,0.55,pocket_adjacent,uncertainty_mcts_240,static_rollout_pool,3,-1.986134298368148,-2.2580965267179236,0.0,-0.6464708174480016,-3.053835550938519
start_state_stress,wide_left,768,18,default9,1.15,0.22,0.55,wide_left,uct_mcts,static_rollout_pool,3,-0.0980630682358014,-0.11783586182665573,0.0,-0.0020019828985411436,-0.1743513599822073
start_state_stress,wide_left,768,18,default9,1.15,0.22,0.55,wide_left,uncertainty_mcts_240,static_rollout_pool,3,-0.09872376719573121,-0.11783591497748347,0.0,-0.003984100295646442,-0.1743512863140637
uncertainty_calibration_stress,uncertainty_pocket_0.00,768,18,default9,1.15,0.22,0.0,base,conservative_mcts,static_rollout_pool,4,1.569238225089299,0.06899545851096178,0.5,6.317818571998481,-0.17885658866320853
uncertainty_calibration_stress,uncertainty_pocket_0.00,768,18,default9,1.15,0.22,0.0,base,uct_mcts,static_rollout_pool,4,-0.04760995176550775,-0.0056981747074260625,0.0,-0.00018563074421606984,-0.1788578269029628
uncertainty_calibration_stress,uncertainty_pocket_0.00,768,18,default9,1.15,0.22,0.0,base,uncertainty_mcts_240,static_rollout_pool,4,1.357186016225885,-0.002145074328275598,0.25,5.6118908022233,-0.17885658866320853
uncertainty_calibration_stress,uncertainty_pocket_0.15,768,18,default9,1.15,0.22,0.15,base,conservative_mcts,static_rollout_pool,4,0.05725464195454544,0.06899545851096178,0.5,0.2698842394594667,-0.17885658866320853
uncertainty_calibration_stress,uncertainty_pocket_0.15,768,18,default9,1.15,0.22,0.15,base,uct_mcts,static_rollout_pool,4,-0.04760995176550775,-0.0056981747074260625,0.0,-0.00018563074421606984,-0.1788578269029628
uncertainty_calibration_stress,uncertainty_pocket_0.15,768,18,default9,1.15,0.22,0.15,base,uncertainty_mcts_240,static_rollout_pool,4,1.357186016225885,-0.002145074328275598,0.25,5.6118908022233,-0.17885658866320853
uncertainty_calibration_stress,uncertainty_pocket_0.55,768,18,default9,1.15,0.22,0.55,base,conservative_mcts,static_rollout_pool,4,0.05725464195454544,0.06899545851096178,0.5,0.2698842394594667,-0.17885658866320853
uncertainty_calibration_stress,uncertainty_pocket_0.55,768,18,default9,1.15,0.22,0.55,base,uct_mcts,static_rollout_pool,4,-0.04760995176550775,-0.0056981747074260625,0.0,-0.00018563074421606984,-0.1788578269029628
uncertainty_calibration_stress,uncertainty_pocket_0.55,768,18,default9,1.15,0.22,0.55,base,uncertainty_mcts_240,static_rollout_pool,4,1.357186016225885,-0.002145074328275598,0.25,5.6118908022233,-0.17885658866320853
uncertainty_calibration_stress,uncertainty_pocket_1.10,768,18,default9,1.15,0.22,1.1,base,conservative_mcts,static_rollout_pool,4,1.8185674868130035,0.2059862748189607,0.75,6.866394790770624,-0.004097393156531126
uncertainty_calibration_stress,uncertainty_pocket_1.10,768,18,default9,1.15,0.22,1.1,base,uct_mcts,static_rollout_pool,4,-0.04760995176550775,-0.0056981747074260625,0.0,-0.00018563074421606984,-0.1788578269029628
uncertainty_calibration_stress,uncertainty_pocket_1.10,768,18,default9,1.15,0.22,1.1,base,uncertainty_mcts_240,static_rollout_pool,4,1.3572433421251517,-0.002145074328275598,0.25,5.6118908022233,-0.1786272850661419
