planner,budget,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,seed,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_true_return,episode_mean_plan_gap
conservative_mcts,64,-19.187526021640245,-28.171352594835547,-28.26671556577395,0.09536297093840389,0.06878550024994984,0.4178661059456824,0.008134182398533535,0.018246453789375155,0.019867365483429458,1.5345807414877628,64.0,,,9.5,4.0,5.0,0.25,1.0,-27.995982307612497,,
conservative_mcts,128,-4.090067801313105,-27.3907996064439,-27.442693891715372,0.05189428527147868,0.03648549833352725,0.40075450493050135,0.00459448853640807,0.009328916313375683,0.01013056648585611,1.5983953642270627,128.0,,,9.5,8.0,9.0,0.125,1.0,-27.558256766159367,,
conservative_mcts,256,-25.532328161056057,-28.82356897045569,-28.859620288738835,0.036051318283151355,0.02514576539931445,0.3947211321058209,0.003265899674860825,0.006171283093900798,0.006580220922071544,1.6211343404503828,256.0,,,9.5,15.0,16.0,0.31333333333333335,1.0,-29.96560979716214,,
conservative_mcts,512,-27.964195302621597,-25.149118414585207,-25.412906104966318,0.2637876903811103,0.18739293153185282,0.4962294552382412,0.037052069797197454,0.035999491369791345,0.010984902322151383,1.3787977293774463,512.0,,,9.5,30.45,31.45,0.5069892473118279,1.0,-29.67313439245894,,
conservative_mcts,1024,-27.93307766640521,-24.71377113535585,-24.974355815555036,0.26058468019918707,0.18995514028529378,0.4951589846415357,0.03404706853594196,0.03716393501573863,0.017783683468265095,1.2309304866693749,1024.0,,,9.5,63.1,64.1,0.7290110567076293,1.0,-28.856584834293777,-7.923511765547619,0.2697393197247544
random_open_loop,64,-29.495181770509838,-29.495181770509838,-29.512318485953376,0.01713671544353641,0.016028847604798786,0.3907412686754361,0.003088132565079299,0.012545608800148603,0.01119642270487052,1.6379948092158287,18.0,1.0,1.0,9.5,,,,,,,
random_open_loop,128,-29.4130358818111,-29.4130358818111,-29.42624129409571,0.013205412284606055,0.00849161174075588,0.38617396660923686,0.0017186061130028362,0.005300938239154957,0.0050059092083014735,1.6162361145636706,18.0,1.0,1.0,9.5,,,,,,,
random_open_loop,256,-29.85914338168442,-29.85914338168442,-29.86022321033845,0.001079828654033399,0.0005081371864813918,0.38137945587498395,0.00010590647702885888,0.0002144486887303672,0.00021390581654899126,1.7079223724835066,18.0,1.0,1.0,9.5,,,,,,,
random_open_loop,512,-30.308500867910215,-30.308500867910215,-30.311663236130236,0.0031623682200237367,0.0027187742839382715,0.382600403430328,0.0004157252152071272,0.0019120295962600721,0.0018915711526473328,1.6854481700692578,18.0,1.0,1.0,9.5,,,,,,,
random_open_loop,1024,-30.52759686184578,-30.52759686184578,-30.55403880657378,0.026441944728003895,0.015926956219248174,0.39051508315688893,0.0031538266494902227,0.006614248364210325,0.006196133757532576,1.7023442660743946,18.0,1.0,1.0,9.5,,,,,,-9.52945234305672,0.00031247906567884344
static_rollout_pool,64,-26.91261383530543,-26.91261383530543,-27.019123262434753,0.10650942712932779,0.08142773354958191,0.4289252281702872,0.014630285157883777,0.027504510891548057,0.022073911368941285,1.4535932357733845,54.0,3.0,1.0,9.5,,,,,,,
static_rollout_pool,128,-25.407382263895183,-25.407382263895183,-25.541415721153534,0.1340334572583508,0.1122359999347925,0.44248178417726436,0.018281300505117247,0.05259142673162846,0.03633260338976542,1.3242710464276466,126.0,7.0,1.0,9.5,,,,,,,
static_rollout_pool,256,-24.8600094157052,-24.8600094157052,-24.921233738958286,0.06122432325308438,0.0416200988382804,0.40467614469747265,0.006896971675766128,0.014971227901379466,0.01665791253374447,1.2697923511815448,252.0,14.0,1.0,9.5,,,,,,,
static_rollout_pool,512,-23.3594556991352,-23.3594556991352,-23.64018138906041,0.28072568992520813,0.22082350925890962,0.5094523644538033,0.03886563993217355,0.08924948569304174,0.05781101150624527,1.1715520873770537,504.0,28.0,1.0,9.5,,,,,,,
static_rollout_pool,1024,-21.873139587300336,-21.873139587300336,-22.17368223555559,0.3005426482552517,0.21704893165022937,0.5204684356324721,0.04571711442334733,0.06661853396030723,0.03885477987286194,1.0442264473117846,1008.0,56.0,1.0,9.5,,,,,,-8.181217126645722,1.0041072916824858
uct_mcts,64,-18.638683280450127,-28.171352594835547,-28.26671556577395,0.09536297093840389,0.06878550024994984,0.4178661059456824,0.008134182398533535,0.018246453789375155,0.019867365483429458,1.5345807414877628,64.0,,,9.5,4.0,5.0,0.25,1.0,-27.14391887549226,,
uct_mcts,128,-3.9712677825227765,-27.3907996064439,-27.442693891715372,0.05189428527147868,0.03648549833352725,0.40075450493050135,0.00459448853640807,0.009328916313375683,0.01013056648585611,1.5983953642270627,128.0,,,9.5,8.0,9.0,0.125,1.0,-26.721715644317975,,
uct_mcts,256,-24.544576873260514,-29.63956351824873,-29.6829075259695,0.04334400772076883,0.03239261947764213,0.39830596442102606,0.003665250690312824,0.009010285321777018,0.009829546943827726,1.6768206326365682,256.0,,,9.5,15.0,16.0,0.31,1.0,-29.083163929120182,,
uct_mcts,512,-27.08311619850508,-23.386389859178827,-23.484499536097637,0.09810967691880715,0.06485585630651114,0.4177811245228713,0.010332379130392491,0.013835162788836813,0.012816888002156562,1.215677321421274,512.0,,,9.5,30.4,31.4,0.4813978494623655,1.0,-28.865119942290114,,
uct_mcts,1024,-27.126123731900286,-25.031735321393658,-25.718191901849252,0.6864565804555947,0.41620780989678413,0.6227284984312944,0.07057199572717908,0.08326343201518185,0.03612282758444164,1.3401610091913105,1024.0,,,9.5,62.85,63.85,0.6489581956196016,1.0,-28.13293653696807,-7.8474269483344345,0.08627638829587707
uncertainty_mcts,64,-18.811815084155604,-28.171352594835547,-28.26671556577395,0.09536297093840389,0.06878550024994984,0.4178661059456824,0.008134182398533535,0.018246453789375155,0.019867365483429458,1.5345807414877628,64.0,,,9.5,4.0,5.0,0.25,1.0,-27.424441340651235,,
uncertainty_mcts,128,-3.992092788868016,-27.3907996064439,-27.442693891715372,0.05189428527147868,0.03648549833352725,0.40075450493050135,0.00459448853640807,0.009328916313375683,0.01013056648585611,1.5983953642270627,128.0,,,9.5,8.0,9.0,0.125,1.0,-26.996740624570304,,
uncertainty_mcts,256,-24.952676997307037,-28.82356897045569,-28.859620288738835,0.036051318283151355,0.02514576539931445,0.3947211321058209,0.003265899674860825,0.006171283093900798,0.006580220922071544,1.6211343404503828,256.0,,,9.5,15.0,16.0,0.31333333333333335,1.0,-29.347810532345193,,
uncertainty_mcts,512,-27.32033930217305,-21.73070713986112,-22.088090966089894,0.3573838262287742,0.24945813872934405,0.5357903272710018,0.050801882095112716,0.05053769122454356,0.015424484470943,1.1290822032803374,512.0,,,9.5,30.45,31.45,0.5169892473118279,1.0,-29.043589038762274,,
uncertainty_mcts,1024,-27.199942720553803,-23.015768758028127,-23.251667649565444,0.2358988915373165,0.17478118509840676,0.48746097020141504,0.03273865587050686,0.03576446010290206,0.012907472408928691,1.1453700492076497,1024.0,,,9.5,63.3,64.3,0.7266607647504825,1.0,-28.109355598561468,-7.774317816575953,0.39609188320807565
value_mcts,64,-10.391023120432546,-27.904295012544317,-28.11517484861658,0.21087983607226715,0.1356785259170093,0.4612939463769221,0.025057557593781875,0.03178751979662918,0.026577854603643807,1.5622484545113067,64.0,,,9.5,64.0,65.0,0.21875,1.0,-11.134355367538722,,
value_mcts,128,-11.30715081064268,-26.118608559366358,-26.443966952525123,0.3253583931587632,0.21129134059586724,0.5071155337781834,0.0372920981042519,0.03604367011122056,0.01608977444957252,1.3761628940652249,128.0,,,9.5,128.0,129.0,0.2171875,1.0,-11.743053376067351,,
value_mcts,256,-11.945744665121344,-30.065545711160173,-30.100518447059006,0.03497273589883134,0.022455761084939158,0.3935055531845766,0.003368566570179761,0.0048052340526575105,0.005442578089406304,1.6494687338374248,256.0,,,9.5,256.0,257.0,0.2748046875,1.0,-12.162612255438592,,
value_mcts,512,-12.500056039328358,-21.532416553076352,-22.00247514247005,0.4700585893936956,0.3034243838638808,0.5569872237490046,0.05075575026752375,0.06730559164504203,0.03979508985818779,1.0711746065093115,512.0,,,9.5,512.0,513.0,0.27958984375,1.0,-12.62888065793053,,
value_mcts,1024,-12.942817264227774,-21.641474140588045,-22.03829023178053,0.39681609119248523,0.2281239698088117,0.507813489534762,0.03683674528989546,0.05492401796381511,0.02835045095304286,1.0991515089072903,1024.0,,,9.5,1024.0,1025.0,0.31640625,1.0,-13.029147794591793,-7.537734602588273,7.791459343314673
